NOME_PRODUTO;PRINCIPIO_ATIVO;EMPRESA;CLASSE_TERAPEUTICA;NUMERO_REGISTRO
A SAÚDE DA MULHER;EXTRATO FLUIDO DE CASCA DE LARANJA AMARGA + EXTRATO FLUIDO DE PASSIFLORA ALATA + SALICILATO DE SÓDIO + TINTURA AGONIADA PLUMÉRIA;57507378000365 - EMS S/A;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC MEDICAMENTOSAS;102351059
AAS;ACIDO ACETILSALICILICO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANALGESICOS NAO NARCOTICOS;183260386
AAS PROTECT;ÁCIDO ACETILSALICÍLICO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANTIAGREGANTE PLAQUETARIO;183260387
ABBA;ACETATO DE ABIRATERONA;05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA;AGENTES ANTINEOPLÁSICOS;146820078
ABC;CLOTRIMAZOL;92695691000103 - KLEY HERTZ FARMACEUTICA S.A;ANTIMICOTICOS PARA USO TOPICO;106890153
ABCLER ABNAT;BETAÍNA + CITRATO DE COLINA + DL-METIONINA + LEVOMETIONINA;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;144930011
ABERALGINA;DIPIRONA;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;ANALGESICOS NAO NARCOTICOS;144930010
ABLOK;ATENOLOL;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;BETABLOQUEADORES SIMPLES;109740100
ABLOK PLUS;ATENOLOL + CLORTALIDONA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANTI-HIPERTENSIVOS;109740092
ABRETIA;CLORIDRATO DE DULOXETINA;33349473000158 - FARMOQUÍMICA S/A;ANTIDEPRESSIVOS;103900192
ABRIFIT;HEDERA HELIX L.;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES;154230216
ABRILAR;HEDERA HELIX L.;33349473000158 - FARMOQUÍMICA S/A;EXPECTORANTES + FITOTERAPICO SIMPLES;103900141
ACALMILFITO;CRATAEGUS RHIPIDOPHYLLA GAND. + PASSIFLORA INCARNATA L. + VALERIANA OFFICINALIS L.;92265552000140 - MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO;118190216
ACCUVIT;ACETATO DE RACEALFATOCOFEROL + BETACAROTENO + OXIDO CUPRICO + RIBOFLAVINA + SELENATO DE SÓDIO + ÁCIDO ASCÓRBICO + ÓXIDO CÚPRICO + ÓXIDO DE ZINCO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VITAMINAS E SUPLEMENTOS MINERAIS;105730206
ACEBROFILINA;ACEBROFILINA;73856593000166 - PRATI DONADUZZI & CIA LTDA;BRONCODILATADORES;125680159
ACECLOFENACO;ACECLOFENACO;73663650000190 - RANBAXY FARMACÊUTICA LTDA;ANTINFLAMATORIOS;123520100
